DATE,absacc,acc,age,agr,bm,bm_ia,cashdebt,cashpr,cfp,cfp_ia,chatoia,chcsho,chempia,chinv,chpmia,convind,currat,depr,divi,divo,dy,egr,ep,gma,grcapx,grltnoa,herf,hire,invest,lev,lgr,mve_ia,operprof,orgcap,pchcapx_ia,pchcurrat,pchdepr,pchgm_pchsale,pchquick,pchsale_pchinvt,pchsale_pchrect,pchsale_pchxsga,pchsaleinv,pctacc,ps,quick,rd,rd_mve,rd_sale,realestate,roic,salecash,saleinv,salerec,secured,securedind,sgr,sin,sp,tang,tb,aeavol,cash,chtx,cinvest,ear,ms,nincr,roaq,roavol,roeq,rsup,stdacc,stdcf,baspread,beta,betasq,chmom,dolvol,idiovol,ill,indmom,maxret,mom12m,mom1m,mom36m,mom6m,mvel1,pricedelay,retvol,std_dolvol,std_turn,turn,zerotrade
19870130,-0.17687348,-0.48423302,-0.7537257,-0.56996113,-1.3871876,-1.2021573,-0.5223129,0.5957179,0.24085562,0.03763535,-0.11864416,0.21857953,0.1822177,-0.39921275,0.23273942,0.34047872,0.39461002,0.3611196,-0.2742154,-0.13575552,-1.1770136,-0.06549699,-0.67455035,-0.5368357,-0.30191308,0.008891597,-0.2252574,0.19408888,-0.2320825,-1.1628833,0.015744306,-0.31108525,-0.57790744,-0.63247895,-0.2343833,-0.38983384,-0.10427612,-0.2623474,-0.2796628,0.07006413,-0.13288677,-0.10411276,0.044617724,-0.6259289,-0.17543197,0.6160153,0.7178562,-0.05197116,0.7833886,-0.4990648,-0.63109356,-1.2825903,-0.46097264,-0.7499667,-0.35694194,-0.6490415,0.37375325,-0.16098253,-1.4657785,0.69355536,-0.3014056,-0.26949313,0.83937067,0.49544817,-0.29311654,-0.053570442,0.030371368,0.6818145,0.3838846,0.28377715,0.34891707,0.43398696,0.37970132,0.31347626,0.105609596,2.4513395,2.4596987,-1.2365148,0.4887311,1.4332814,0.20044202,-0.29150996,1.3202208,-0.4899517,-1.3427742,-0.51695096,-1.1041615,-0.083117306,-0.5344924,1.5994587,-0.60228974,0.79589343,1.2135617,-1.424937
19870227,1.4023203,0.64722383,-1.8917806,0.1287567,-1.427661,-0.8809676,-0.44829854,1.7830758,0.057932124,0.17240843,0.3960089,0.5607022,0.2242051,0.40182447,0.24724135,0.71471494,1.1865755,1.9140918,0.6717563,0.76130533,-1.7888255,0.17589536,-1.2226434,1.2897522,0.10531876,0.30974174,1.6086955,0.63533294,0.317173,-1.6310822,0.4373525,-1.015649,-0.52867293,1.2741024,0.11402051,-0.082466796,0.7234901,0.05869623,-0.07361029,0.47756007,0.33532202,0.49262166,0.4519808,0.07788062,0.3193092,0.8590809,2.3078158,0.44533622,1.241969,-0.15471277,-0.42385316,-0.11921899,-0.7361645,0.078222446,0.57857406,0.531641,0.976161,0.6156705,-1.120309,0.8021788,0.3077116,0.4792663,0.446455,1.7686156,0.5971495,0.6228614,0.4280839,0.98131037,0.99238217,1.6699499,1.0428562,1.2551342,1.1406494,0.60047174,1.1506497,1.7966838,1.8794699,-0.35584196,-0.74901354,2.6646097,1.4286616,-0.4480675,1.610682,0.4848688,0.11810239,-0.6493701,-0.099758506,-1.0953001,0.1851078,1.9348829,1.0867255,0.99708235,0.9609904,0.08833492
19870331,-0.47768146,-0.83154607,-0.65306,1.0629159,0.30954242,0.21648721,-0.9897702,-0.73381394,-0.71685725,-0.35820046,0.06624938,-1.2274201,-0.9685926,-1.123958,-0.49043632,-1.0419258,-0.7329409,0.1701194,-0.50809,-0.54172647,-0.60455364,-1.4925153,-1.2030638,-0.8120167,-0.9422906,-1.1524227,0.1791482,-1.3586226,-1.3305191,-0.15441579,-1.3399197,-1.0334175,-1.1823243,0.15363899,-0.44801417,-0.59834254,0.056948632,-0.56938684,-0.5327977,0.13092531,-0.08599723,-0.12356935,0.08117199,-0.79943085,-0.61332864,-0.61136734,-0.41800088,-0.019188665,-0.44346166,-0.40917826,-1.1186817,-0.20987627,-0.13050315,-0.38366032,0.29398897,0.12039218,-1.1830587,-0.5681126,0.0074920654,-0.7857544,-0.742101,-0.2879206,-0.3783698,-0.47447193,-0.4634085,0.19665664,-0.33814952,-0.09584755,-0.709813,0.2692235,-0.7500187,-0.79989594,-0.09338644,-0.5787089,1.2239887,-2.49933,-2.4116688,-0.560586,-2.9424565,0.3351859,1.1852498,-0.43541682,-1.3330564,0.18900949,-1.4778615,-1.7651904,0.1428048,-2.6981966,0.51563114,-0.95767856,1.0783006,-1.967851,-2.3689394,1.7906064
19870430,-0.0347988,-0.6934813,-0.75077665,1.6818546,0.14986059,0.28953233,-1.1273558,-0.2679707,-0.5895624,-0.29261303,0.3464801,-1.1869172,-0.9912283,-1.0983036,-0.39732748,-0.6274861,-0.34791338,0.9659456,-0.18324593,-0.22261244,-0.80004764,-1.6353904,-1.3920677,-0.33354837,-0.89755815,-1.1054858,0.64649653,-1.2640786,-1.4085629,-0.20750219,-1.313761,-1.2049577,-1.263819,0.882606,-0.42889252,-0.47256386,0.53266966,-0.41206643,-0.40802222,0.5032015,0.21667911,0.017732874,0.4491951,-0.7280942,-0.5151666,-0.35386872,0.62350327,0.5520681,0.13882294,-0.23206365,-1.1749744,0.23786134,-0.07980195,-0.1328094,0.6525993,0.57687485,-1.0943857,-0.30426866,0.17863056,-0.5123215,-0.3572651,0.12612712,-0.34930897,0.41358972,-0.15853444,0.66500974,-0.3873756,0.6726915,-0.2559294,1.0561953,-0.26239628,-0.173105,-0.17308101,-0.15653308,1.4142954,-1.9890578,-1.8562412,-0.20385018,-2.7137098,0.9586212,1.4859215,0.34458375,-0.74525887,1.5077856,-0.4811094,-1.8409488,0.9201215,-2.5614924,0.6913134,-0.47936034,1.5297825,-1.3132061,-1.7563566,1.8769468
19870529,-0.007843487,-0.24240083,-0.27755886,0.75243485,0.16686067,0.16066273,-0.53863204,-0.1672381,-0.34874287,-0.14048456,0.09791148,-0.44372463,-0.43703717,-0.4059223,-0.093906395,-0.16694494,-0.11963606,0.35078824,0.016929645,-0.0050455816,-0.25232518,-0.71105677,-0.63927007,-0.28412774,-0.3947671,-0.4854266,0.30154216,-0.5829101,-0.57198834,0.07323846,-0.5318097,-0.51454127,-0.6458667,0.18712592,-0.2030502,-0.19145504,0.22239545,-0.24003449,-0.1749085,0.113812394,0.08307863,-0.06450543,0.1023987,-0.23021062,-0.3100228,-0.14112286,0.28740942,0.22648081,0.035222813,-0.037699617,-0.5811313,0.064220555,-0.09451792,-0.010602375,0.29427564,0.22602457,-0.52940786,-0.009591455,0.19663662,-0.15612105,-0.20059958,0.01044371,-0.06276962,-0.17005678,-0.06927858,0.03740811,-0.31368843,0.08199178,-0.49499726,0.53491926,-0.49746516,-0.2383841,0.040973492,0.07715459,0.5138619,-0.5638959,-0.53413165,-0.016507573,-1.0888727,0.59936136,0.84720814,0.07128358,0.026909873,-0.09278692,-0.2739938,-0.9161289,-0.056638874,-1.0694945,0.18017156,0.2311615,0.56259716,-0.4360977,-0.5470768,0.50654364
19870630,-0.43560708,-0.16546088,1.26231,0.3437786,0.93942416,0.73988813,0.29134613,-0.7822102,0.14110796,0.0055985637,-0.10908109,-0.1402283,0.027133271,-0.017020881,-0.006460309,0.14624478,-0.4091709,-0.6837307,0.036208034,0.025294438,1.2528946,-0.079309285,0.7954564,-0.41225138,0.123788595,-0.0039592236,-0.47369704,-0.22594315,-0.063625365,1.3255897,0.012211755,0.660505,0.44931215,-0.38101533,0.08563191,0.1808605,-0.05116181,0.21815047,0.1798692,-0.09169406,0.004157871,-0.15863456,-0.0519217,0.23835346,-0.11373907,-0.37897044,-0.5477552,0.07962528,-0.48235953,0.34499687,0.35040283,0.55111265,0.5717933,0.33048266,-0.15711369,0.21746957,-0.3932029,0.06339206,1.107781,-0.39020795,0.18870011,-0.15615776,-0.35057288,-0.5564142,0.38591212,-0.089397274,-0.34966946,-0.26069742,-0.54467046,-0.5266624,-0.4846627,-0.37190598,-0.00807105,0.012231812,-0.7094618,-0.6234944,-0.6768249,-0.24438551,0.8859318,-1.261023,-0.8659763,0.24485669,-0.43119398,0.39183736,0.4998596,0.34753704,0.15045102,1.1153042,-0.030489072,-0.7064468,-0.50004536,-0.08996685,0.011300983,-0.22773953
19870731,-0.5741841,-0.66911906,1.0399132,1.3610048,0.9046488,0.72428787,-0.33510864,-0.69878787,-0.0859327,0.07125321,-0.003380239,-0.5843255,-0.36501157,-0.7398771,-0.0048339814,0.19024791,-0.34188083,-0.06853497,0.0013978183,0.04794213,0.6899241,-0.8873601,-0.0813739,-0.7805423,-0.4382582,-0.5866344,0.07965922,-0.8736784,-0.89763117,1.2182416,-0.56619805,0.24092507,-0.33517155,-0.1509183,-0.099897034,-0.12515359,0.3550243,0.13495786,-0.032554656,0.07681873,0.22002667,-0.3689805,0.06415209,-0.18179782,-0.41554052,-0.33638415,0.16131288,0.61658055,-0.03733608,0.26184416,-0.33797565,0.53518033,0.43220377,0.25120014,0.111522466,0.47123334,-1.059297,0.051991284,1.1061199,-0.40443048,-0.018262144,-0.06639475,-0.35984355,-0.43539828,0.36703396,0.15476051,-0.9027599,0.2619539,-0.8867904,0.3004462,-0.8527961,-0.48991063,0.12383151,0.2465431,-0.26540083,-0.64904565,-0.6819354,0.22884123,0.31328738,-0.30680007,-0.025807738,0.6914309,-0.122746944,1.1451294,0.15452404,-0.63129365,0.908929,0.33938748,0.12429167,-0.19784582,-0.1041528,0.08113981,0.19559875,-0.03568095
19870831,0.07233778,0.3518772,0.8386314,-0.0020839968,0.4442436,0.36528784,0.58916914,0.12813011,0.3953083,0.29457256,-0.041260753,0.4728483,0.3638636,0.46662998,0.24041593,0.51691896,0.048682556,-0.17452231,0.24666885,0.2698249,0.7909649,0.55897826,0.7821424,0.37936947,0.5641191,0.4689861,0.030330881,0.41888085,0.5008551,0.7215088,0.57692134,0.7866464,0.74604255,0.010151248,0.21369575,0.23425402,0.17816189,0.39776164,0.2149162,0.083139986,0.20045628,0.086880416,0.10178883,0.53859884,0.2663456,0.014807887,0.14453435,0.100294724,-0.077623546,0.3896831,0.6625033,0.5877062,0.46251422,0.40462428,-0.02394453,0.25074196,0.2500854,0.2869565,0.5868654,-0.050119855,0.54851073,0.17130494,-0.24805474,0.23504688,0.33236602,0.07820591,-0.014146549,-0.0027856305,0.14686224,-0.17203212,0.2800816,0.12356952,-0.10120633,-0.069814555,-0.6395888,0.3782379,0.32113934,0.2846579,1.5518222,-0.6981113,-0.99922395,0.27240866,0.0042214394,0.88512355,0.96463054,0.8869313,0.63731325,1.5834627,-0.026706815,-0.31886292,-0.3842886,0.6715192,0.8779418,-0.48829466
19870930,0.090597115,-0.13315624,-0.08798485,0.8057802,0.36816534,0.37051463,-0.31437778,-0.055609044,-0.13454223,-0.085587144,0.23706564,-0.51167536,-0.22363517,-0.20849566,-0.25496265,-0.07670209,-0.060538955,0.35999948,0.15941614,0.11517047,-0.13169749,-0.54412276,-0.39379567,0.08247155,-0.22046207,-0.31586903,0.601026,-0.3773337,-0.3608035,0.1856721,-0.32156703,-0.31963164,-0.35205063,0.5389158,0.020719618,-0.13700151,0.291062,0.0025453605,-0.114351004,0.16026019,0.21946366,0.028584762,0.15385354,-0.065662295,-0.19918944,-0.21654016,0.3752657,0.26786634,-0.0331928,0.097748086,-0.27365327,0.43132114,-0.027134523,0.2645364,0.37914604,0.43563926,-0.36896473,0.075209446,0.4060875,-0.25159532,-0.0033521913,0.14674112,-0.2864352,0.07505089,0.094561234,0.29316524,-0.20386949,0.078183025,-0.30237317,0.5413329,-0.2871223,-0.023783702,0.1872983,0.26211727,0.40564924,-0.9787539,-0.9466964,0.35739505,-0.9191166,0.25265896,0.5688157,0.497059,-0.38218367,0.5301976,-0.106178366,-0.5757278,0.61762166,-0.77465034,0.31682146,-0.3318847,0.6518466,-0.4168172,-0.5834638,0.8165025
19871030,-1.2767951,-0.9626202,1.5729642,2.14157,2.6687226,1.9619548,-0.14381695,-2.4787076,-0.7678349,-0.6306231,-0.3418528,-2.4460788,-1.3244928,-1.5390949,-1.0422522,-2.286988,-2.0473554,-1.7386667,-0.7861063,-1.0160224,1.005059,-2.1900132,-0.28489196,-1.1345849,-0.9450253,-1.4967364,-0.37814927,-2.4949055,-1.8130534,2.160226,-2.26189,0.38276744,-0.46080774,0.042923093,-0.07630589,-0.30585724,0.23504159,-0.66621405,-0.24970296,-0.10318222,-0.12477875,-1.2839211,-0.047648825,-0.26428044,-0.8220547,-1.8971812,-3.1547382,-0.6196656,-2.4865909,0.24098414,-0.55267584,1.1652914,0.95008993,0.45752418,0.006460905,0.9279053,-2.779032,-0.91964614,2.2147477,-2.0634766,-0.80640364,-0.8532914,-1.9526894,-2.481286,-0.92885727,-0.559222,-0.39591897,-2.2858315,-2.6815424,-1.9521873,-2.835521,-2.1442926,-1.4307625,-1.3194662,-0.23696566,-7.3561497,-7.4064007,2.0538836,-3.2074494,-4.2201033,-0.52150774,-1.2436962,-4.9438796,-0.84094846,0.21665022,-0.48119128,0.7508842,-1.570302,1.258807,-5.1352196,0.38689232,-4.2690153,-5.3154707,3.719092
19871130,-0.35576272,-0.5311009,0.4017222,1.3323982,1.0188181,0.76199484,-0.18153703,-0.8142414,-0.18985885,-0.19033286,0.23966742,-1.3765264,-0.79562867,-0.90957844,-0.53992623,-0.9236858,-0.78254926,-0.27534872,-0.24679306,-0.27954033,0.09297788,-1.0387425,-0.30805674,-0.1405369,-0.65251815,-0.91169614,0.27226287,-1.1998978,-1.1038413,0.5683328,-1.319399,-0.07985848,-0.21986753,0.6020967,-0.096726015,-0.20020677,0.31551608,-0.15059584,-0.100660086,0.26145625,0.16665423,-0.24909437,0.24265654,-0.33532277,-0.1337218,-0.8209479,-0.65654725,-0.102156036,-0.93441904,0.049913675,-0.3033814,0.6983361,0.3513828,0.1999011,0.27817827,0.5092451,-1.2581263,-0.3476238,0.72929394,-0.98499095,-0.22194284,0.11636753,-1.0481302,-0.28787845,0.43245077,0.4818831,-0.12379671,-0.30150303,-0.69654584,-0.35623586,-0.7593298,-0.7313464,-0.3886975,-0.39881313,-0.3048244,-3.594874,-3.5717094,1.0149529,-1.8565359,-1.3631918,-0.013074994,0.07560632,-2.9462848,1.1318096,2.0597243,-0.6598794,1.3849574,-0.88808465,0.75284976,-3.1513574,1.2961103,-1.8792049,-2.4028838,2.212235
19871231,-0.27328378,0.5997209,2.0674634,-2.1005962,-0.61704266,-0.50510764,2.5618308,1.172729,2.1300054,1.2313141,-0.036548436,2.1682713,1.608774,1.1818835,1.0249969,1.5955428,0.59868985,-0.7940191,-0.07550143,0.24712685,1.5413449,2.9511025,3.0673637,1.0853884,1.9362185,2.0511293,-1.0210823,2.285899,1.9312917,0.40808454,2.2241826,2.378828,3.0112042,-0.8606435,0.26733884,0.7700299,-0.09108713,1.3010318,0.9115222,0.37885952,0.0055056885,0.91982436,0.48751783,0.8699676,1.5999998,0.9513181,0.24498463,-0.12593848,0.34563208,0.36563003,2.817407,0.44301367,1.2523521,0.13792723,-0.94354534,-0.23377663,2.0597503,0.1993759,-0.2747356,0.44456926,1.8863627,0.679059,0.20106557,2.0551744,0.075923346,0.5249269,0.6768249,1.3667076,3.2736115,-1.3068745,3.4324698,1.4789262,-0.43666148,-0.3111005,-3.4474754,3.3564668,3.2892518,-0.27535036,6.731601,-2.145062,-4.4669027,0.5028636,0.6255652,3.575645,2.3922768,3.9922688,2.3609607,6.2791038,-0.93618965,-0.7678545,-2.0434878,3.002676,4.562648,-2.8339005
19880129,-0.62205374,-1.0626075,-0.8504224,-0.12611161,-0.84006333,-0.71028376,-1.5818079,-0.40998182,-0.80588746,-0.23039505,-0.520286,-0.3040256,-0.4579761,-0.88254184,-0.15398422,0.013971686,0.17884104,0.07984028,-0.3243599,-0.42453635,-0.80328596,-1.3018333,-1.889996,-1.7555531,-1.0179007,-0.7854664,-0.78095144,-0.9208065,-1.0427284,-0.98519355,-0.7316262,-1.0848348,-2.0309525,-1.046451,0.00030635297,-0.29996905,-0.5680805,-1.2656033,-0.31020457,-0.6275905,-0.38133833,-0.9467989,-0.67260027,-1.3155462,-1.4907658,0.40897408,-0.41568246,-0.0343623,0.5439847,-0.49879813,-1.7984881,-2.0226614,-0.9204134,-0.8825014,-0.65170497,-0.9847009,-0.81883097,-0.3578458,-1.0271484,0.86337006,-1.2605369,-1.2082889,1.5213996,-1.3837113,-0.3990526,-0.9315912,-0.3604375,-0.7806358,-1.5550693,0.40623823,-1.7458559,-1.3215683,0.17949116,0.029401064,1.6526787,1.9980321,1.9928396,-2.1650267,-1.8446095,2.0356183,1.8704996,-1.2080637,1.7352364,-4.3887777,-3.733823,-2.29831,-4.517323,-2.656703,-0.9992064,2.8484554,-0.89779633,0.42492855,0.035865903,-1.5859001
