DATE,absacc,acc,age,agr,bm,bm_ia,cashdebt,cashpr,cfp,cfp_ia,chatoia,chcsho,chempia,chinv,chpmia,convind,currat,depr,divi,divo,dy,egr,ep,gma,grcapx,grltnoa,herf,hire,invest,lev,lgr,mve_ia,operprof,orgcap,pchcapx_ia,pchcurrat,pchdepr,pchgm_pchsale,pchquick,pchsale_pchinvt,pchsale_pchrect,pchsale_pchxsga,pchsaleinv,pctacc,ps,quick,rd,rd_mve,rd_sale,realestate,roic,salecash,saleinv,salerec,secured,securedind,sgr,sin,sp,tang,tb,aeavol,cash,chtx,cinvest,ear,ms,nincr,roaq,roavol,roeq,rsup,stdacc,stdcf,baspread,beta,betasq,chmom,dolvol,idiovol,ill,indmom,maxret,mom12m,mom1m,mom36m,mom6m,mvel1,pricedelay,retvol,std_dolvol,std_turn,turn,zerotrade
19870130,0.51077944,0.17830908,-1.3551166,-0.21716739,-0.39728683,-0.15728238,-1.3947985,0.3565256,-0.41671708,-0.20053062,-0.2964425,0.067518055,-0.2895949,0.0011794455,-0.40874162,0.17797682,0.4183731,1.0383863,0.310748,0.31733406,-2.1906977,-0.19689403,-1.4150035,0.34282532,-0.24337523,-0.19822305,1.055479,0.027920064,-0.09007978,-0.35546425,0.0031586103,-1.2941669,-1.0064815,0.0077941567,-0.27135375,-0.22930361,0.03784268,-0.22035785,-0.31065664,-0.24761467,-0.1240764,-0.42630288,-0.25563356,0.21863312,-0.6071098,-0.05090712,0.4002413,0.35128936,0.3699093,0.22966564,-1.1107818,0.0016797185,-0.88583225,-0.49806067,0.35252526,0.27549458,-0.029157128,0.18865147,-0.011666305,-0.26023978,-0.5492426,0.14117807,0.17007822,0.28531724,0.24634239,-0.06917747,-0.2732455,0.054324873,-0.08855365,0.81440896,-0.32256448,0.03878343,0.39505026,0.40136427,1.8537791,2.8722882,2.8817098,-0.9495291,-1.3047035,3.180143,1.7082142,-0.43373054,2.0017862,-1.4454101,-1.3082714,-0.9764272,-1.5398121,-2.1228032,-0.6175922,2.8099005,0.23376544,1.2800362,1.261761,-0.2160005
19870227,1.0638908,0.44303507,-2.5672512,-0.29470336,-1.8853915,-0.95370233,-1.6691835,1.8179392,-0.52413625,-0.16643381,-0.066241145,0.32649454,-0.15796298,0.20489822,-0.45736358,-0.009475619,1.0101733,1.7927785,0.112475336,0.077599734,-3.6823525,0.04907345,-2.589581,1.0054463,-0.18495126,-0.26981795,1.751698,0.29689658,0.2907698,-1.6843942,0.124144316,-1.9016342,-1.0570661,0.31634197,-0.3203243,-0.24360748,0.21893856,-0.056370944,-0.30601385,-0.26616302,-0.090436995,-0.32398015,-0.2685228,0.13369972,-0.7492306,0.6591194,0.40669206,0.5384997,1.0494492,-0.09735048,-1.3408637,-0.26287174,-1.2875245,-0.6566,0.31818593,0.120210975,0.23776388,-0.08658403,-1.1331279,0.14673671,-0.7959382,0.22135283,0.112985134,0.29364127,0.024414957,-0.12763286,-0.3534178,0.038687617,-0.17585805,1.4684021,-0.25674054,-0.0371857,0.4526344,0.45405257,1.9457498,2.7783613,2.811521,-0.6401365,-1.5914547,4.040305,1.920727,-0.1484164,1.7972245,-0.5824641,-0.98703843,-0.4790163,-0.798664,-2.4505188,-0.5062014,2.764431,0.2522282,0.75229657,0.9538826,-0.05718237
19870331,0.5503321,-0.27101183,-2.0493636,2.262129,1.3107548,1.3599112,-2.266759,-0.28998518,-0.2628075,0.39363283,0.3122405,-0.86956763,-0.8001978,-0.7490695,-0.17525804,-0.41085804,0.56566954,1.4865147,0.21541482,0.3040284,-1.4434236,-1.8311405,-1.5109996,-0.20488699,-0.68204635,-1.0363889,1.6196473,-1.1441385,-1.1549193,0.7975011,-0.7371925,-1.8553197,-2.01693,0.9588387,-0.18794413,-0.06336968,0.95127463,-0.116737485,-0.019005328,0.467978,0.429101,-0.17981681,0.44065562,0.22831133,-0.86758286,0.3157079,0.206588,0.4917626,0.16657703,0.10900438,-2.1407583,0.370757,-0.4723143,0.26554388,0.62204254,0.37021762,-1.3757977,0.13622996,1.1642832,-0.016794562,-0.4013873,0.4837472,0.08918184,0.14094245,0.2621866,0.28810132,-0.91102564,-0.024852455,-0.7476034,1.6850551,-0.94537324,0.07086167,0.67623574,0.6904713,2.5120573,-0.55773443,-0.5249139,1.5242256,-4.2740235,3.1865954,4.624895,0.640969,0.9526288,0.20679407,1.3464574,-2.337594,0.7880222,-3.9195633,0.5903676,1.4739388,1.7768079,-1.2835298,-1.9593477,2.1999104
19870430,0.2010168,-0.35670692,-1.1628944,1.721175,1.0347615,0.986524,-1.3331181,-0.51923907,-0.079025805,0.3708225,0.2519101,-0.8313432,-0.51978886,-0.7509911,-0.134259,-0.28302893,0.4098233,1.0643277,0.029605329,0.09092961,-0.8165808,-1.3306946,-0.67954576,-0.06856558,-0.5896191,-0.93519974,1.0015564,-0.9725555,-1.1093161,0.7469936,-0.7591058,-1.2502984,-1.1530416,0.82940567,-0.29108846,0.015128039,0.5940877,0.04809542,0.13355625,0.42634907,0.24440515,-0.10239336,0.4210285,0.036993347,-0.43978524,0.23153573,0.1216481,0.44111615,0.12057834,-0.016465202,-1.236342,0.32640374,-0.24033657,0.35873318,0.27051187,0.17391507,-1.1575648,-0.01139535,1.1467707,-0.042046726,-0.2859564,0.33594885,-0.023473859,0.10451421,0.088545635,0.26929346,-0.69382143,0.07460454,-0.45272654,1.0699257,-0.55725384,0.06763363,0.2876088,0.30627897,1.2779862,-0.79451865,-0.77468735,0.9339889,-2.6278734,1.6688644,2.688892,1.3632746,0.14740443,1.3495854,0.54147947,-1.4909769,1.4890368,-2.391867,0.38243216,0.45708966,1.1732376,-0.7951336,-1.3265119,1.4581006
19870529,0.020098299,-0.3267426,-0.33686376,1.2527989,1.1143898,0.96770984,-0.6908031,-0.37187135,-0.21092018,0.1160124,0.17269082,-0.46629667,-0.1900477,-0.37267953,-0.020954385,-0.08904903,0.32584673,0.5907203,-0.023519725,0.031601578,-0.14710627,-0.8966956,-0.22848257,-0.02486477,-0.3319296,-0.7203907,0.5796291,-0.5352531,-0.6339366,0.7709338,-0.42334586,-0.47872058,-0.6913967,0.6650196,-0.06462787,0.14852291,0.4769926,0.081751704,0.1723046,0.32741725,0.24079865,-0.098319896,0.3205998,0.007149294,-0.2441907,0.213323,0.04173574,0.24720778,-0.046611078,-0.044450134,-0.6420856,0.38646495,-0.06989835,0.476788,0.095170334,0.057451874,-0.7092594,-0.028003886,0.97556734,0.05354306,0.09130223,0.016455472,-0.1585283,-0.077669844,-0.012054071,-0.078079686,-0.7484158,-0.15424374,-0.5581063,0.5804477,-0.7745346,-0.17071927,0.069114655,0.08655015,0.63539785,-0.08654347,-0.07965872,0.1570307,-1.599355,0.9119976,1.8314512,0.51937926,0.08946718,0.10933329,-0.17284814,-1.0984846,0.12806216,-1.1326526,0.2520631,0.40780345,0.77159184,-0.49427736,-0.99553,0.9663198
19870630,-0.5701115,-0.3051322,1.3314296,0.27252215,1.2675042,0.7139396,0.69335765,-1.1196964,0.17279096,0.03945779,-0.024294063,-0.2375691,0.049828425,-0.15912697,0.18293059,0.06404729,-0.4538291,-0.7792116,-0.031158306,-0.0014714971,1.7823462,-0.16436629,1.3294007,-0.47674298,0.022592643,-0.01934801,-0.7955283,-0.22117692,-0.28672582,1.1142752,-0.13577802,0.862602,0.39623046,-0.047142774,0.11882867,0.15250912,-0.082501575,0.024222821,0.17142454,0.14958298,0.053075008,0.064986944,0.1497144,-0.050800316,0.3213252,-0.38575727,-0.15924233,-0.21666907,-0.58937305,0.08818121,0.5735373,0.26677844,0.5723102,0.41574985,-0.15873279,-0.03846722,-0.23373994,0.06453386,0.91102266,-0.13225771,0.42054716,-0.15582764,-0.09772803,-0.15067773,0.009639174,-0.007954612,-0.013155103,-0.061704926,-0.015668109,-0.7016877,-0.07884066,-0.02751796,-0.2482138,-0.2419347,-0.8163246,-0.9043951,-0.9218523,0.025809795,0.5937922,-1.7166917,-0.656898,0.08913681,-0.6574491,0.016649015,0.085591376,-0.028878197,0.056153268,1.0347786,0.1542066,-1.0004952,-0.048146848,-0.13200188,-0.35124752,0.03437686
19870731,-0.4498716,-0.92851686,-0.017830074,2.1589758,2.517898,1.8985742,-1.3837409,-2.0259078,-0.33760738,0.14374885,-0.019395739,-1.2726095,-0.77094203,-1.2270734,-0.17170829,-0.105149895,-0.20315078,0.45854437,-0.10120548,0.0043019205,0.4235741,-2.0144238,0.18085974,-0.9971377,-0.8510725,-1.3829048,0.5102604,-1.5739934,-1.8395965,2.2401211,-1.129648,-0.742522,-1.4129186,0.44207138,-0.40777954,-0.03276633,0.46773654,-0.098594144,0.14520268,0.50512105,0.19436406,-0.30588603,0.4779094,-0.09523342,-0.58267653,-0.40116966,-0.18058574,0.21643433,-0.66276705,-0.050048992,-1.4016899,0.5307317,-0.0116058625,0.3234863,-0.061335072,-0.021799117,-1.775361,-0.07366617,2.262143,-0.59458566,-0.20432295,0.06858757,-0.42103437,-0.16949373,-0.00711222,0.083437055,-1.2069476,-0.17139858,-0.8445749,0.4675771,-1.1349275,-0.26173633,-0.03075862,0.016424939,1.2616961,0.06705892,0.07566249,1.894783,-1.5314415,1.3320197,1.9441867,2.3172085,1.0764803,2.094291,2.202477,-1.9480988,2.4341514,-0.9636619,0.34436464,1.030146,1.162836,0.033783853,-0.48163995,1.0956933
19870831,-0.4364336,0.053138196,1.3786812,-1.0969466,-0.37553328,-0.5557761,1.5694968,-0.2030248,0.3631345,-0.035956234,-0.104721524,0.2576556,0.5631161,0.26342097,0.094549306,0.26347518,-0.09961339,-0.6071329,-0.09148176,-0.13248296,0.89786506,1.0610756,1.3893354,0.53751945,0.28890482,0.37420338,-0.9812962,0.5799051,0.35503426,-0.14030999,0.16566184,0.9507725,1.465477,-0.028670307,-0.034475423,0.2077114,-0.55695873,0.25820482,0.23314638,-0.11786392,-0.24949163,0.116169244,-0.075223185,-0.15636939,0.7925081,-0.12701666,0.062999144,-0.052546293,-0.015837148,0.01763755,1.6130579,0.07734352,0.35340005,0.34743524,-0.3705785,-0.13518623,0.6299173,-0.04020238,0.06632987,0.08795372,0.34081364,-0.22564638,0.014839351,0.055994302,-0.0989621,-0.05811453,0.47789523,0.19363168,0.59666646,-0.96005154,0.66203487,0.13983619,-0.49213535,-0.49669597,-1.9025643,-0.11774385,-0.14862603,-2.0572577,1.9936142,-2.3153493,-2.46024,0.09231536,-1.4318666,0.2439627,-2.8455925,1.2289457,-0.56186306,1.7067511,-0.48148674,-1.4805351,-0.96743685,0.7706358,0.7923953,-1.1251426
19870930,-0.1874474,-0.29107386,0.20474069,0.75092685,0.7651663,0.54265857,0.08824528,-0.5952612,0.13777201,0.24281842,0.15018941,-0.491448,-3.195554e-05,-0.39806774,-0.015219199,-0.019438183,0.25260985,0.3760916,-0.046051357,-0.014689084,0.18848056,-0.38894653,0.48890716,0.28038457,-0.2614226,-0.5350722,0.10399541,-0.39296004,-0.6406619,0.6236328,-0.49866197,-0.19559741,0.103561774,0.68170965,-0.18654099,0.20331155,0.14990853,0.22848746,0.30073395,0.29411718,0.071761094,-0.003885094,0.31739852,-0.089215726,0.20712057,0.10969202,0.12825024,0.29726365,0.026360035,-0.014032949,0.1741314,0.37390068,0.12501109,0.6305346,-0.054176822,0.033232916,-0.5329962,-0.031735457,1.0499579,0.053764544,0.09719911,0.061219458,-0.057268564,0.0705346,-0.015266931,0.11343301,-0.31308717,0.13378847,-0.044252433,0.16599059,-0.12308378,0.07228528,-0.13213821,-0.112904854,-0.36639667,-0.76903695,-0.7731546,-0.712322,-0.7240978,-0.3966353,0.49280253,1.0988663,-0.94324106,1.0717983,-1.594095,-0.4211322,0.63410187,-0.5926691,0.030349746,-0.7248649,0.30216575,-0.19706935,-0.6712723,0.46597844
19871030,-1.1739498,-0.4288235,3.0752296,2.016921,3.730811,2.3165646,2.298853,-2.53232,1.3748679,1.0039636,0.7637734,-0.7848829,-0.020478547,-0.34821156,1.0163972,-0.61728215,-1.2495167,-2.411924,0.12507907,0.22490592,6.165287,-0.6854912,3.7508254,-1.3756617,0.3430465,0.50227636,-2.244259,-0.80308294,-0.5214974,2.7429514,-0.33763197,2.564354,1.267101,0.4253434,0.93327355,0.62579644,0.5160074,0.20301338,0.68303794,0.9252285,0.73728114,0.8786521,0.926497,0.108794,1.2989402,-0.5535407,-0.45197448,-0.69503933,-1.4491258,0.46503723,1.7080947,0.72027326,2.5494497,1.7944411,0.25215048,0.28947535,-0.8483016,0.46291688,2.0813894,0.37494075,1.5326009,0.25022808,0.3222849,-0.21473366,0.34531105,0.786248,0.92752904,0.18887609,0.42012447,-1.4789205,0.68086207,0.5303072,-0.07819551,-0.05746731,-2.3394268,-8.508004,-8.540508,1.6343471,-1.3934851,-6.7529397,0.37762752,-0.8990179,-4.778788,-0.15756977,1.4942026,-0.12782755,0.74896145,0.6337639,1.8942187,-6.1684337,0.8698825,-4.213199,-5.3495855,2.6960495
