DATE,absacc,acc,age,agr,bm,bm_ia,cashdebt,cashpr,cfp,cfp_ia,chatoia,chcsho,chempia,chinv,chpmia,convind,currat,depr,divi,divo,dy,egr,ep,gma,grcapx,grltnoa,herf,hire,invest,lev,lgr,mve_ia,operprof,orgcap,pchcapx_ia,pchcurrat,pchdepr,pchgm_pchsale,pchquick,pchsale_pchinvt,pchsale_pchrect,pchsale_pchxsga,pchsaleinv,pctacc,ps,quick,rd,rd_mve,rd_sale,realestate,roic,salecash,saleinv,salerec,secured,securedind,sgr,sin,sp,tang,tb,aeavol,cash,chtx,cinvest,ear,ms,nincr,roaq,roavol,roeq,rsup,stdacc,stdcf,baspread,beta,betasq,chmom,dolvol,idiovol,ill,indmom,maxret,mom12m,mom1m,mom36m,mom6m,mvel1,pricedelay,retvol,std_dolvol,std_turn,turn,zerotrade
19870130,-0.40459847,-0.34323224,0.65339077,-0.00673753,0.1267228,0.15368415,0.17385675,-0.18120775,0.08601424,-0.15844122,-0.35116377,-0.15653859,-0.055418722,-0.21933301,-0.3380506,0.7046957,0.5664742,0.4072858,-0.1300879,-0.2568665,-0.026088655,-0.18537515,-0.14294218,-0.036694974,0.0040397793,-0.08424246,-0.15288955,-0.18655652,-0.1674985,-0.014201757,0.15755613,0.015931308,-0.15511444,-0.08378282,0.06849092,-0.13256678,-0.059984334,-0.00065766275,-0.124243654,-0.32659993,-0.19362277,-0.41890812,-0.3397241,-0.19911303,-0.6843106,0.5929866,0.17845497,0.8084016,0.74365056,-0.58075166,0.1212914,-0.2548606,-0.5251434,-0.29135764,-0.5949192,-0.43931848,-0.39200047,-0.18155494,-0.02673079,0.24040622,0.49850506,-0.29507348,0.85255307,0.05701572,-0.0060970075,-0.25515088,-0.23366475,0.016583562,-0.25417227,0.23428223,-0.31408745,-0.24473521,0.2879389,0.24688567,-0.2887059,1.4908078,1.4090142,-0.2586966,0.5496182,0.101537496,-0.010949314,0.067083985,0.4448895,-0.3503175,-0.14977863,-0.4601461,-0.53154147,0.23026447,-0.26479346,0.37642568,0.06896278,0.7505367,0.7665448,-0.7745405
19870227,-0.43673503,-0.13135238,0.49950168,-0.19248633,0.1383137,0.13118137,0.3551234,-0.14432916,0.04448451,-0.09362923,-0.36408854,-0.05046711,-0.05922462,0.018476762,-0.31228375,0.36315304,0.28173292,0.13547868,-0.04682819,-0.18304907,0.2037737,-0.018417273,0.12577221,0.13674212,0.089458294,0.07536444,-0.13814792,-0.06918669,0.018424168,0.026803005,0.27595472,0.16760316,0.111216605,-0.036226686,0.033444125,-0.13568045,-0.08524295,0.0044243783,-0.16081093,-0.39652172,-0.22022833,-0.35685128,-0.41014442,-0.024299689,-0.5592402,0.2794715,0.039427526,0.36674434,0.30421153,-0.37564123,0.32970676,-0.15115923,-0.24959446,-0.14791504,-0.72117627,-0.51717585,-0.25438535,-0.11744769,0.031439856,0.049819864,0.42922544,-0.170136,0.48034495,0.1351408,-0.03086232,-0.23665422,-0.10868657,0.140641,-0.022152424,-0.06336166,-0.1043333,-0.06393493,-0.19635947,0.15317991,-0.60401726,0.79246634,0.7220428,-0.064352624,0.6863516,-0.43162858,-0.2588232,0.07889372,0.10653165,-0.09968252,0.034311645,0.056906432,-0.22102019,0.5630403,-0.2579189,0.13777548,0.030326188,0.61307836,0.6200137,-0.676175
19870331,-0.15013972,-0.1413328,0.1633651,-0.108245775,0.08237229,0.077539414,0.03915298,-0.12505074,0.06068094,-0.081489526,-0.16099444,-0.06410241,0.06628665,-0.061238974,-0.107510254,0.40526992,0.2897308,0.06910662,-0.06268239,-0.11031014,-0.027507424,-0.035163045,-0.024846137,0.049325876,0.08293782,0.08326543,-0.09936403,0.011186641,0.047006227,-0.031646296,0.12695813,-0.17779538,-0.09650125,-0.023008743,0.034279577,-0.05869099,-0.0876359,0.015794504,-0.042962592,-0.13140562,-0.0770556,-0.1473619,-0.1293929,-0.049865466,-0.25974798,0.24179381,0.04215008,0.31686944,0.29158157,-0.22095916,0.018510759,-0.025994228,-0.31006724,-0.06542377,-0.05774069,-0.010756701,-0.11693044,-0.077644676,0.03008131,0.17479864,0.17684734,-0.16105376,0.38820457,0.029232074,-0.08863635,-0.12152463,-0.17677084,-0.051359765,-0.19830523,0.11820237,-0.23066016,-0.04273278,0.033052586,0.13764606,-0.10807082,0.72164434,0.69775033,0.024155427,0.10206908,0.11794716,0.06274793,0.034587562,0.09783361,-0.19892421,-0.06012223,-0.13422015,-0.14947236,-0.06378159,-0.1601971,0.1210425,0.16001293,0.33293438,0.3625735,-0.27714983
19870430,-0.007996924,-0.04973749,-0.017318822,-0.042966165,0.025250971,0.030250382,-0.02174551,-0.04173429,0.0092904065,-0.03627387,-0.045535065,-0.037893433,0.05066029,-0.010435378,-0.007858083,0.14955646,0.0958679,0.014510107,-0.00875321,-0.021937443,-0.049416684,-0.023197517,-0.029650912,0.04565634,0.04776746,0.06164501,-0.015679164,0.024274904,0.043784138,-0.012064995,0.048172973,-0.11736395,-0.05860891,0.030557208,0.004148566,-0.023525594,-0.048224855,0.010042803,-0.019743877,-0.033233993,-0.013926055,-0.022465788,-0.033822935,-0.013065407,-0.061333995,0.052445576,0.008050208,0.08690526,0.08332475,-0.042754356,-0.0104809515,0.04450056,-0.13451095,0.0075699966,0.08264485,0.09278811,-0.009250175,-0.016281383,0.03706982,0.07826429,0.03497558,-0.025972322,0.09495638,-0.003780746,-0.023616461,-0.056798454,-0.07214608,-0.037652895,-0.13548192,0.07207463,-0.12636617,0.0054688826,0.047389526,0.041977786,-0.009255931,0.21390422,0.2073836,0.021261644,-0.046479106,0.07895424,0.038391996,0.057760358,-0.014865492,-0.08019057,-0.077899605,-0.049845774,-0.0075788647,-0.09526618,-0.030662747,-0.008287481,0.057321597,0.079657875,0.09087698,-0.047294352
19870529,-0.0058888793,-0.05109684,-0.029013261,-0.07372101,0.03147778,0.02495512,-0.017208554,-0.049101222,0.01682277,-0.031025402,-0.04543843,-0.029467477,0.07517008,0.003535999,-0.0015598834,0.17336299,0.10579194,-0.0042366385,0.007643682,-0.012093686,-0.05838941,-0.006887541,-0.017204836,0.059031475,0.058504447,0.08459202,-0.016980482,0.04161816,0.06617447,-0.008255833,0.07165236,-0.14722319,-0.055068735,0.029090617,0.01869046,-0.024892706,-0.0657475,0.025966242,-0.019646045,-0.038762346,-0.01457594,-0.012604855,-0.037864253,-0.006825471,-0.057277508,0.057226196,0.0012952536,0.080938116,0.07707321,-0.043690223,-3.003329e-05,0.04898148,-0.1431629,0.014875157,0.09590212,0.11354182,0.013602532,-0.00287202,0.041961934,0.08917855,0.02769187,-0.02457479,0.109488,-0.010861339,-0.00376568,-0.04643396,-0.091192536,-0.042418122,-0.1603595,0.07453072,-0.15226935,0.011327694,0.052958943,0.04993299,-0.041104123,0.2528902,0.24369296,0.033677816,-0.04356151,0.07758214,0.026353728,0.0036376035,-0.039960332,-0.09143098,-0.078185484,-0.020223558,-0.0216141,-0.099358626,-0.049645595,-0.03819704,0.07380685,0.09243214,0.10886471,-0.055354074
19870630,0.24500711,0.024092901,-0.17320158,0.14536363,-0.075343676,-0.07696971,-0.20287727,0.072696984,-0.014731655,0.067159064,0.18937124,0.021873115,0.01139231,-0.093037285,0.1696776,-0.07261715,-0.048033487,0.011038249,-0.009318107,0.055751264,-0.1720626,-0.017387813,-0.12032419,-0.13052937,-0.056246527,-0.10162906,0.051070426,-0.020655759,-0.102092266,-0.02387185,-0.17551675,-0.1274399,-0.111931786,-0.022224601,0.016053542,0.0519819,0.0870345,-0.037181947,0.07926305,0.22779715,0.11317883,0.17269877,0.23898143,-0.028221749,0.2409926,-0.03172056,0.042150304,-0.025176175,0.003977552,0.11973276,-0.19493404,0.03188693,0.035969026,0.00653114,0.33896816,0.22243547,0.09043051,0.035054553,-0.035566173,0.017463543,-0.1676062,0.14244959,-0.10793537,-0.070809335,-0.041569658,0.077591375,0.062092736,-0.10309867,-0.033413913,0.11773798,-0.0040870868,-0.004257139,0.017790915,0.006059762,0.29878712,-0.12666345,-0.09542367,0.16902025,-0.30261785,0.37097564,0.108962454,0.06621464,0.034432113,0.07596626,0.0306373,-0.23418963,0.121850595,-0.28759342,0.07486356,0.036040276,-0.06050768,-0.2456356,-0.18770039,0.21606043
19870731,0.056637157,-0.13180973,0.16129401,-0.01704355,5.83753e-06,-0.008626826,-0.25996125,-0.07623757,-0.07649731,-0.012781492,0.04506305,-0.066177174,0.09024162,-0.2019004,0.0047184452,0.3765371,0.26002377,0.1518859,-0.17897692,-0.13749756,-0.19061996,-0.08787996,-0.29351297,-0.2892227,0.07249106,0.015950598,-0.112589635,0.025202,-0.053189848,-0.018632274,0.12189722,-0.26708788,-0.3333377,-0.18820073,0.2178207,-0.10860722,-0.12338397,0.0012805471,-0.052797407,0.09809619,0.025370652,0.006738441,0.08819039,-0.13853925,-0.07645425,0.28117892,0.067347825,0.553911,0.5584046,-0.21177982,-0.32316008,-0.13657777,-0.28543836,-0.19314374,0.37406263,0.2315805,0.004055335,-0.104197875,-0.0453404,0.20029594,-0.024227127,-0.0042040963,0.45599228,-0.021717835,0.032527465,0.04031816,-0.024904083,-0.25650772,-0.28230232,0.2879718,-0.29073256,-0.042308696,0.22183259,0.24579369,0.15645371,0.81773686,0.8266677,0.36635917,-0.15119645,0.63214535,0.14895481,0.2990609,0.19618505,0.043884043,-0.18218552,-0.5461756,0.26802024,-0.30217737,-0.12675935,0.26471424,0.018749889,0.13792248,0.23568577,-0.16322812
19870831,0.32440478,0.21401304,-0.38317412,0.084391296,-0.06199098,-0.053878017,-0.11361113,0.15436994,-0.0051575527,-0.022478804,0.21298903,0.0831074,0.110144846,0.07814109,0.22775918,-0.42831224,-0.24135584,-0.19132917,0.0765952,0.13718188,-0.12802953,0.12242262,0.08220892,0.04077828,0.016842566,-0.030659169,0.20708509,0.06982924,0.025481649,0.021605555,-0.23536004,-0.085643865,0.0778663,0.13191488,-0.0579467,0.21992376,0.0769459,-0.047755778,0.18024449,0.25896576,0.09905708,0.22668162,0.26878747,0.18508303,0.34947693,-0.2911926,-0.034987003,-0.49306822,-0.4891819,0.38511777,-0.038427472,0.19025739,0.15313219,0.21316236,0.37887233,0.24474964,0.19979039,0.0907962,0.087967575,-0.11955155,-0.26014727,0.21399325,-0.5061599,-0.0077620223,0.052579332,0.1346432,0.05155608,0.035629913,0.20597103,-0.10887892,0.2558389,0.22341757,-0.18725991,-0.17211096,0.304376,-0.7929841,-0.75683844,0.1806175,-0.3686243,0.08342612,0.053563446,-0.12832387,-0.15861015,-0.0028081164,0.056303557,0.17263256,0.13517892,-0.23974648,0.21498631,-0.16204971,-0.099123426,-0.4808517,-0.51940346,0.50884426
19870930,0.22901554,0.11327512,-0.46776736,-0.1465034,-0.0099511,0.0032282479,-0.073892765,0.041711006,0.06548734,-0.034641247,0.09822203,-0.10374852,0.2955419,0.13916257,0.055319082,0.023065107,0.018719083,-0.17659451,0.13560319,0.13594176,-0.23641129,0.07527214,0.05725385,0.20686705,0.13871144,0.21426477,0.15659441,0.21247967,0.2240209,-0.052681725,0.06270549,-0.38482818,-0.016778987,0.19119301,0.018536227,0.08385395,-0.081380144,0.020295097,0.069394,0.13463162,0.038991377,0.25082657,0.114164606,0.1462206,0.17109309,-0.12972322,-0.016516486,-0.27620295,-0.25176403,0.22406131,0.014288409,0.25900978,-0.10658064,0.22954696,0.62101525,0.49472663,0.27054924,0.106989816,0.13855517,0.064825825,-0.11301057,0.10059709,-0.17020506,0.01760433,-0.0011643257,0.0021680538,-0.114278525,-0.017028242,-0.058734536,0.095534645,-0.014614134,0.23955217,0.06305762,0.086117685,0.16083384,-0.21415253,-0.1943109,0.07687829,-0.47308388,0.17118391,0.15514308,0.08883043,-0.2500773,-0.099828005,-0.08751773,0.1506693,0.0118471505,-0.44887522,0.06021901,-0.2251697,0.10383591,-0.23399581,-0.25705034,0.33232176
19871030,1.3432621,0.74061257,-2.0315294,-0.30240464,0.02437795,0.03088469,-0.54488647,0.23996413,0.03502498,-0.24715497,0.5864563,-0.28685462,1.0734241,0.49549016,0.53119934,-0.28107026,-0.2867262,-0.85378665,0.54112595,0.6338677,-1.0182338,0.3165694,0.07742768,0.70970964,0.38779327,0.6034088,0.8188471,0.6483678,0.74989665,-0.12020264,-0.28281015,-1.4880661,-0.04495873,0.84265876,0.043724,0.60616714,-0.14253959,-0.04078678,0.4904993,0.8329359,0.22246441,1.1669352,0.75456774,0.82785124,1.0625464,-0.7776965,-0.085244745,-1.4072173,-1.3300345,1.1502125,-0.15598552,1.1718074,-0.15290177,0.92296654,2.877082,2.1399465,1.0653932,0.51520884,0.69860905,0.06443072,-0.81644595,0.50677633,-1.1385621,0.036398955,0.037682522,0.19982858,-0.40478513,-0.062765926,-0.22927192,0.567746,-0.000102728605,0.9410953,0.32514358,0.034786828,1.2889203,-1.7493563,-1.6018924,0.73570323,-2.4331179,0.99374384,0.6145459,-0.9856917,-1.1496854,-0.32501167,-0.26692086,0.5348083,0.28627926,-2.120362,0.4952544,-0.95167977,0.4177106,-1.3786159,-1.5598187,1.9384291
