DATE,absacc,acc,age,agr,bm,bm_ia,cashdebt,cashpr,cfp,cfp_ia,chatoia,chcsho,chempia,chinv,chpmia,convind,currat,depr,divi,divo,dy,egr,ep,gma,grcapx,grltnoa,herf,hire,invest,lev,lgr,mve_ia,operprof,orgcap,pchcapx_ia,pchcurrat,pchdepr,pchgm_pchsale,pchquick,pchsale_pchinvt,pchsale_pchrect,pchsale_pchxsga,pchsaleinv,pctacc,ps,quick,rd,rd_mve,rd_sale,realestate,roic,salecash,saleinv,salerec,secured,securedind,sgr,sin,sp,tang,tb,aeavol,cash,chtx,cinvest,ear,ms,nincr,roaq,roavol,roeq,rsup,stdacc,stdcf,baspread,beta,betasq,chmom,dolvol,idiovol,ill,indmom,maxret,mom12m,mom1m,mom36m,mom6m,mvel1,pricedelay,retvol,std_dolvol,std_turn,turn,zerotrade
19870130,-0.5913465,-0.18312953,0.60176885,-0.071696416,0.43131694,0.29710123,1.0213363,0.021167565,0.8902133,0.32320598,-0.00019890815,-0.21814007,0.295235,0.032020405,-0.018748574,-0.41779685,0.23808499,-0.11125272,-0.22843592,-0.29505414,0.61447024,0.6788403,0.9909839,0.058069907,0.26528275,0.31131238,-0.1021613,0.39776158,0.25890025,0.447447,0.3106132,0.47262406,0.97036827,-0.097247794,0.17505907,0.39665014,-0.3291849,0.2231878,0.50725996,0.022606215,-0.051446304,-0.019061863,0.009693913,-0.09861848,0.52461076,0.21605518,-0.13259266,-0.25199115,-0.3384682,0.67293155,1.1972084,-0.10228026,0.3151021,-0.002004534,-0.1347984,-0.11125272,0.20582646,-0.31357184,-0.0032478622,0.33986667,0.09218888,-0.014611803,0.18487468,-0.10365026,-0.10660198,0.106951416,0.06285079,-0.30735087,0.6034099,-0.110970154,0.36265704,-0.34143245,-0.640225,-0.6282178,-0.6686247,-1.3731893,-1.3648543,0.23224354,0.03973463,-1.3977555,-0.6480717,0.705062,-1.0786074,0.50794834,0.6582717,1.203863,0.6369201,0.72461194,-0.082624905,-1.3876153,-0.108564675,-0.74767745,-0.6467459,-0.087347314
19870227,0.0676949,-0.8735372,-1.4890382,0.35618937,-0.6074225,-0.43277302,-3.3097246,-0.67475224,-2.467512,-1.439711,-0.4702575,-0.8892683,-1.6038812,-1.2340173,-0.1105026,0.72236717,-0.6813633,0.18347847,0.12194015,-0.09514812,-1.6310089,-2.4216447,-3.10673,-0.5332076,-1.5508875,-1.6284014,-0.28653353,-1.9106982,-1.8980273,-0.7241247,-1.7756741,-1.5096483,-3.1366065,-0.48470515,-1.0605016,-1.0945021,0.13238409,-0.7363993,-1.3544524,-0.21919061,-0.32062358,-0.6425782,-0.15850686,-0.864414,-1.2197477,-0.6255714,0.31130394,0.647306,-0.06282759,-1.1114311,-3.8299963,-0.17069079,-1.3007329,-0.57854223,0.18347847,0.18347847,-1.7183986,-0.20482898,-0.22043514,-0.86256194,-1.033199,-0.26295066,-1.4057157,-0.15871514,0.15550551,-0.14116454,-0.12681635,0.81865895,-1.7234883,-0.008000299,-0.7618953,0.6046411,-0.13380718,0.08496955,-0.30841398,2.1577306,2.4140882,-0.6454611,-1.7323809,1.0173157,0.58445877,-2.1592834,1.0334159,-2.0284142,-1.6564472,-3.2609956,-0.9930713,-2.8313234,-0.553466,1.2314575,0.18347847,0.799621,0.5726632,-0.61074114
19870331,0.8525228,0.066847265,-1.1558926,0.17688295,-0.27526084,-0.027294487,-1.7107484,-0.27859968,-1.6337011,-0.6101957,0.033192918,-0.23037507,-0.6461115,-0.19212815,0.06034355,0.20757878,-0.41483042,0.12052529,0.48695484,0.6329583,-1.049479,-1.2956219,-1.6413372,-0.21337126,-0.5725711,-0.70643604,0.29491526,-0.81964123,-0.6870401,-0.04589729,-0.61554885,-0.95509964,-1.8968214,0.2897633,-0.24899825,-0.6215023,0.6945983,-0.46085274,-0.772315,-0.11804944,0.24498335,-0.014388278,-0.11358516,0.052788228,-0.87006426,-0.27853793,0.12052529,0.18879132,0.6574139,-1.1832511,-2.0714774,0.207375,-0.6333493,0.034699515,0.12052529,0.12052529,-0.7465409,0.6294385,-0.09419779,-0.55548173,-0.3324482,-0.02133003,-0.25022054,0.17260194,0.36086822,-0.32035723,-0.5320538,0.22334948,-1.4428468,0.16371717,-1.1268826,0.11414801,1.1848177,0.6306968,1.3285273,0.68677074,0.8489229,0.06042035,-1.6174831,2.4427686,1.260382,-1.5283049,1.6645346,-1.81105,-0.93392015,-2.2448816,-1.0157638,-1.9920588,0.35356364,1.7693676,0.12052529,0.113601446,-0.16164881,0.4096937
19870430,-0.0039969794,-1.652564,-1.5184364,-0.002657882,1.0063975,0.8644697,-3.5717113,-1.3305724,-2.6057687,-1.3484453,-0.05756644,-1.5917764,-2.3186028,-2.0327961,-0.433475,-0.5662601,-0.8597585,-0.001992,-0.058441255,-0.041044943,-0.7360193,-3.2182596,-3.16836,-0.50146914,-1.9790573,-2.240161,-0.02270814,-3.071076,-2.654221,0.896967,-2.188867,-1.7071372,-3.8634868,-0.024311999,-1.0140129,-1.1702799,0.10942373,-0.67578083,-1.4025776,-0.26641086,0.14117374,-0.46404096,-0.23690294,-1.4654565,-1.2766261,-0.8146655,-0.01129652,-0.12062853,-0.24704751,-0.15476656,-3.552141,-0.012921116,-1.4481337,-0.18135406,-0.001992,-0.001992,-2.8019016,-0.2494801,-0.30348715,-0.99837285,-1.427939,-0.45730978,-1.6223363,-0.17319027,-0.11715453,-0.6542016,-1.21825,-0.11772285,-2.7767816,-0.00861421,-2.3267376,-0.5950127,0.09049584,0.2371892,1.1767192,-2.1988032,-2.0034041,-1.3190836,-4.7523804,1.2307212,1.9307944,-0.3710082,0.25646487,-3.619503,-1.0045102,-3.2067266,-2.843708,-4.5522857,0.29070732,0.59471995,-0.0027384418,-2.6491044,-3.703702,0.6089233
19870529,-0.10287109,-0.99836266,-0.64254844,-0.027485332,0.8753985,0.77273184,-1.7352357,-0.9599197,-1.3971409,-0.8042723,-0.03798115,-1.098509,-1.2793763,-1.2354398,-0.32463703,-0.5996335,-0.49753416,-0.05045655,-0.09817363,0.061522312,-0.21436788,-2.0121768,-1.7572535,-0.1663672,-1.1289107,-1.3318269,0.11050827,-1.8068376,-1.591314,0.9411218,-1.383726,-0.9982839,-2.0455093,0.079919,-0.5180023,-0.66057676,0.058695294,-0.45657942,-0.7351969,-0.20886357,0.23797269,-0.20547888,-0.20217237,-0.82640004,-0.789185,-0.38792065,-0.034978524,-0.202452,-0.17670766,0.11217265,-2.1187015,0.06374753,-0.81249124,-0.050509535,-0.027485332,-0.027485332,-1.7207434,-0.12703916,-0.21864013,-0.5790789,-0.8643316,-0.06199969,-0.88547426,-0.114812985,-0.22805989,-0.3385632,-0.7596607,-0.30618396,-1.9801856,-0.00049692695,-1.8132238,-0.34116307,-0.27824455,-0.039371744,1.0518913,-2.0913768,-1.8948717,-0.701156,-3.8426015,0.648889,1.5781076,0.11386223,0.15181723,-2.3201256,-0.3437556,-2.2956114,-1.8056624,-3.1020763,0.27340508,0.34522521,-0.023242453,-2.0087247,-2.9267952,0.96429425
19870630,-0.17435028,-0.62234604,-0.23547477,0.0019308962,0.6168005,0.50851005,-0.8993386,-0.55256,-0.68401265,-0.4292866,-0.0070848037,-0.6690825,-0.72036326,-0.7671794,-0.22347176,-0.37650308,-0.2750612,-0.031849883,-0.07272484,-0.036827393,0.025904056,-1.0685465,-0.91637576,-0.09972757,-0.6090005,-0.74562305,0.053348467,-0.9988976,-0.89878947,0.6139452,-0.7027482,-0.5633867,-1.0463026,0.029676814,-0.26114243,-0.35497054,-0.012074295,-0.1847764,-0.399476,-0.12503695,0.07617656,-0.1358383,-0.1107201,-0.47183022,-0.43071577,-0.2224403,-0.031849883,-0.14417097,-0.24101366,0.16493526,-1.1055087,0.01758486,-0.45848477,-0.082634225,-0.046015233,-0.031849883,-1.0560186,-0.1535403,-0.13223995,-0.31017965,-0.46124005,-0.031849883,-0.54493296,-0.019399893,0.09914389,-0.17965516,-0.42413563,-0.18887702,-0.6845236,-0.026136696,-0.69738907,-0.18185581,-0.101221055,-0.13205558,0.6539224,-1.5074316,-1.3609866,-0.4861284,-2.1970341,0.15429807,0.8308111,-0.10561829,-0.21265334,-1.0655712,-0.31307954,-1.1697388,-1.0035218,-1.6923231,0.13429014,-0.016299263,-0.025310509,-1.3581011,-1.8517499,0.63872844
19870731,-0.24761125,-0.15799971,0.19723342,-0.06540066,0.22761984,0.12989168,0.18572369,-0.0029569827,0.24366157,0.106887,-0.056459956,-0.11969091,-0.020703472,-0.108475275,-0.045109864,-0.13944569,0.0745237,-0.042888068,-0.11421773,-0.13079128,0.14111724,0.10488674,0.20252195,-0.022134613,0.008808652,-0.009915859,-0.066465534,-0.06166,-0.017067365,0.20717376,-0.05751006,0.11396735,0.17371494,-0.066697754,-0.09138794,0.14965928,-0.09340957,-0.017130475,0.1597399,0.0026390497,-0.035686508,0.00016463548,0.0064557185,0.008199872,0.14226367,0.038769387,-0.08563457,-0.117982656,-0.18709353,0.27118716,0.22643554,-0.069503106,0.082745075,-0.015824232,-0.042888068,-0.042888068,-0.043786038,-0.16614218,0.014786741,0.09832174,-0.003260661,0.01109059,-0.067664094,-0.04790701,0.1216591,0.017540822,0.088496,-0.1145684,0.08636789,-0.04884793,0.022272594,-0.07079787,-0.26096773,-0.20344447,-0.22118482,-0.54560727,-0.5394546,-0.24161607,-0.12826352,-0.5572751,-0.19971207,0.004616061,-0.40218595,0.026584975,0.24996412,0.297705,-0.2639354,0.11105683,-0.07777156,-0.46896842,-0.05048896,-0.41414332,-0.47066116,0.08743375
19870831,-0.6163273,-1.3226776,-0.5269195,-0.052340947,0.27527744,0.13486937,-2.3023925,-0.2829896,-0.9519166,-0.85012656,-0.052303366,-1.0609947,-1.0835266,-1.5088342,-0.852985,-0.014281832,-0.42593506,-0.00021674857,-0.4737754,-0.549078,-0.55157924,-1.6345382,-1.642936,-0.5567845,-1.2436997,-1.1818972,-0.39257538,-1.579645,-1.6392099,0.114647076,-1.1629796,-0.93557745,-1.9764755,-0.44467324,-0.78830326,-0.62929606,-0.20227264,-0.2663912,-0.5584928,-0.099114895,-0.20579371,-0.46969473,-0.12184901,-0.983637,-0.4820174,-0.52434266,0.15215865,0.21410805,-0.3664008,0.03313321,-1.7731322,-0.53721094,-0.75661325,-0.54330134,-0.052661628,-0.00021674857,-1.3040277,-0.74639046,-0.34171587,-0.4139596,-0.6955194,-0.19251613,-1.0806853,-0.24138004,-0.64577246,0.09527744,-0.38590834,0.20058212,-0.08228929,-0.00021674857,0.14242367,-0.015557542,-0.22632998,-0.20167783,-1.019665,-0.2787134,-0.16680065,-0.34587067,-2.4038875,-0.6769781,0.3469404,0.11540398,-0.33739012,-0.96109176,-0.61597645,-1.3392363,-0.597048,-2.1820433,-0.35922998,-0.1679703,-0.018504538,-0.69780624,-0.61185575,-0.17591049
19870930,0.21894729,1.0923014,0.71339136,-0.1739469,-0.35984626,-0.26834458,2.306979,0.39707357,1.3087202,0.94883597,-0.00876721,1.1629523,1.1362604,1.3029472,1.0581261,0.08199173,0.48077524,-0.035762396,0.21841484,0.20501347,0.6693838,2.0481222,2.034727,0.32502267,1.3265303,1.2593927,0.1639683,1.6201853,1.7520187,-0.2600249,1.2277062,1.0250623,2.2402594,0.19238907,0.44602215,0.8297575,-0.027588662,0.18347552,0.77587324,0.15354466,0.057009127,0.40297246,0.1634579,0.8964994,0.6887622,0.53606296,-0.07491281,-0.116116814,0.12558046,0.23815414,2.1376958,0.2131313,0.84841365,0.37268978,-0.02203758,-0.02203758,1.0531939,0.38155356,0.21573225,0.5746933,0.75442976,0.12002717,0.65626,0.09040387,0.54328936,0.12033994,0.62252223,-0.14779489,0.7715762,0.012207707,0.52886426,0.06015879,0.09789403,0.010553546,0.15320477,0.5436358,0.30310664,-0.2543077,2.6623616,-0.055989414,-1.0477324,0.0823308,-0.14762983,1.0572531,1.2759478,1.8846116,0.39450094,2.5184608,0.24207607,-0.44150448,-0.014251394,0.85321224,1.1127167,-0.14997497
19871030,-0.0038018622,-0.27644628,-0.082930766,0.20065418,0.3694863,0.33361137,-0.22293505,-0.27740455,-0.22080983,-0.13199475,-0.06214731,-0.33290872,-0.15005912,-0.28292584,-0.20174146,-0.24199139,-0.06041885,-0.014908318,0.090435706,0.19030169,0.044773072,-0.4132232,-0.32403317,0.060173288,-0.18928434,-0.21200189,0.111669175,-0.35965586,-0.2790346,0.44616044,-0.24060634,-0.2314654,-0.44712925,0.13464747,0.0066892095,-0.145681,0.08849617,-0.033276815,-0.16560648,-0.07239142,-0.007053731,0.02853013,-0.07761333,-0.1502212,-0.1550291,-0.026910033,-0.10913716,-0.1658949,-0.007576566,0.13470982,-0.26111928,0.11860942,-0.13055815,0.04767164,-0.029359052,-0.029359052,-0.36851773,0.06855866,-0.045653496,-0.11631382,-0.13493855,-0.0015651239,-0.055981476,0.08042243,-0.00982574,-0.07072181,-0.24164075,-0.19329448,-0.4703058,0.014491598,-0.507971,0.05807582,0.43973184,0.44859958,0.6372689,-0.93109894,-0.80776703,0.20029926,-1.1378651,0.4883152,0.64060044,0.10485599,-0.14453307,-0.63191855,-0.20579545,-0.50687724,-0.40381002,-0.79355997,0.1429533,-0.050813574,-0.012915447,-0.722457,-1.0746,0.48840484
