DATE,absacc,acc,age,agr,bm,bm_ia,cashdebt,cashpr,cfp,cfp_ia,chatoia,chcsho,chempia,chinv,chpmia,convind,currat,depr,divi,divo,dy,egr,ep,gma,grcapx,grltnoa,herf,hire,invest,lev,lgr,mve_ia,operprof,orgcap,pchcapx_ia,pchcurrat,pchdepr,pchgm_pchsale,pchquick,pchsale_pchinvt,pchsale_pchrect,pchsale_pchxsga,pchsaleinv,pctacc,ps,quick,rd,rd_mve,rd_sale,realestate,roic,salecash,saleinv,salerec,secured,securedind,sgr,sin,sp,tang,tb,aeavol,cash,chtx,cinvest,ear,ms,nincr,roaq,roavol,roeq,rsup,stdacc,stdcf,baspread,beta,betasq,chmom,dolvol,idiovol,ill,indmom,maxret,mom12m,mom1m,mom36m,mom6m,mvel1,pricedelay,retvol,std_dolvol,std_turn,turn,zerotrade
19870130,-0.12965128,0.09537941,0.74087477,0.013305727,0.5416592,0.42178726,0.46866727,-0.1748361,0.3730054,0.2669699,0.2531721,0.05716452,0.22044925,0.16457279,0.1265595,-0.059762653,0.016062127,-0.44146731,0.086111024,0.04243895,0.8190366,0.29637903,0.66306174,0.17415203,0.2764313,0.13805717,-0.25587058,0.18020134,0.14671683,0.6087827,0.14903127,0.37699902,0.48884332,0.07532345,0.2502031,0.33947366,0.008311427,0.3575063,0.3497397,0.24011153,0.17354318,0.24442706,0.25212654,0.19917159,0.37978232,0.09168923,-0.31511074,0.040002063,-0.22452885,0.32196254,0.502,0.41352808,0.45153666,0.29286626,-0.1226973,-0.088641055,0.053813756,0.09655303,0.5254946,0.0043073967,0.21278688,0.26535827,0.05301717,0.17317197,0.3065977,0.3987143,0.10293969,0.24373408,0.4224462,-0.5234625,0.4012453,0.09073013,-0.20968696,-0.1796835,-0.54881257,-1.1273316,-1.1511736,0.6023907,0.22649193,-1.2816684,-0.7384016,0.53640443,-0.9965134,0.6774752,0.5396733,0.63330334,0.9098362,0.6010795,0.30818957,-1.1853445,0.058459684,-0.191394,-0.34714496,0.5110439
19870227,0.2405118,-0.15024991,-1.537453,0.45001638,-0.42209408,-0.3248964,-1.1742172,0.32218415,-0.89202946,-0.53057647,-0.2977758,-0.3017618,-0.5805812,-0.38706058,-0.10432196,-0.0055109113,0.019351281,0.6928423,-0.0044650733,0.06644112,-1.5284141,-0.9437593,-1.5690242,-0.372031,-0.6331569,-0.46694845,0.5048729,-0.61393833,-0.45313406,-0.59976155,-0.5217687,-0.98504984,-1.3205144,0.046484485,-0.443309,-0.619118,0.14014545,-0.6713214,-0.64432466,-0.2795341,-0.22683765,-0.3413345,-0.30648383,-0.37073088,-0.7588159,-0.17148721,0.4875247,0.018651903,0.35431388,-0.509494,-1.3089442,-0.45363873,-0.7934667,-0.45876846,0.41631448,0.2864823,-0.35544464,0.02060853,-0.4570759,-0.023907352,-0.4422108,-0.37577415,0.019539025,-0.52818894,-0.1880902,-0.50773585,-0.37500358,-0.43877345,-1.1069182,0.9255451,-1.0601676,-0.1864979,0.48303097,-0.0610459,0.996312,1.3534544,1.4339716,-0.63799256,-1.5964568,1.9903548,1.4091666,-1.251164,1.4902809,-1.8004937,-0.76832247,-1.7841403,-1.8535862,-2.0038536,-0.18593073,1.7698698,0.56221265,0.08742799,-0.01939419,-0.22368899
19870331,0.7272931,0.395992,-1.2756616,0.15103789,-0.56442565,-0.27846482,-0.6793549,0.9042511,-0.35639933,0.012079302,0.13031372,0.43680102,0.05315938,0.1994189,0.3591709,0.64353365,0.65953654,1.06392,0.5171924,0.6131213,-1.4138161,-0.29869354,-1.1350474,0.16115046,-0.07848214,0.15741244,0.85431385,0.061233222,0.18279302,-0.7953881,0.11053386,-0.41000396,-0.7949536,0.47156525,0.052337237,-0.043588076,0.5181777,-0.17619474,-0.06610106,0.18741938,0.259624,0.10614101,0.17345908,0.1614449,-0.23243506,0.5091252,1.0295633,0.592154,0.984135,-0.17562045,-0.8514956,-0.35405624,-0.4615141,-0.10814398,0.55761254,0.58209956,0.29922992,0.5515979,-0.56910026,0.6764475,0.13645212,0.17912729,0.73946065,-0.08665954,0.11200985,-0.22812039,0.30885538,0.081331775,-0.71387756,1.0465615,-0.62521267,0.30339864,0.7721275,0.66117257,0.91567445,2.1372588,2.1702704,0.1395101,-0.5210209,1.8583161,0.9978591,-0.80070055,1.8390334,-1.5188146,-0.03724525,-1.3198771,-1.3319991,-1.1930149,-0.008807972,1.9371524,0.44282228,1.0074922,1.0376511,-0.51826316
19870430,-0.24222614,-0.91943586,-1.8185375,1.4489783,0.07017246,-0.069514334,-2.2816238,-0.6932444,-1.7587813,-1.176466,-0.55041385,-1.4413059,-1.6344926,-1.2275884,-0.57293576,-0.9222245,-0.9280181,0.12059459,-0.6442327,-0.56479377,-1.4646635,-2.213788,-2.3854196,-1.2417343,-1.3989727,-1.4797474,0.33764726,-1.9599102,-1.4967246,0.011749744,-1.6333826,-1.7772748,-2.452073,-0.31011635,-0.9738039,-1.2177639,0.016278744,-1.2663602,-1.2491207,-0.601864,-0.4418882,-0.7730582,-0.62375706,-0.9361671,-1.4627136,-1.1000648,-0.30512613,-0.4048759,-0.48600185,-0.7453401,-2.398266,-0.5139839,-1.1540921,-0.7604885,0.5613011,-0.069386065,-1.5556115,-0.70016325,-0.08629927,-0.95850736,-1.1543355,-0.9369383,-0.87623686,-1.721622,-0.6956495,-0.95979416,-1.3094797,-1.2652345,-2.583278,0.9545983,-2.4215407,-1.2074946,-0.5382296,-0.53089833,1.6263036,-1.3074095,-1.1850171,-1.5856946,-3.9734023,1.7581371,2.6482894,-1.2606182,0.66250354,-2.8312552,-1.1083419,-3.2566848,-2.901357,-3.8402956,-0.25807226,1.2428551,1.2364893,-1.6621525,-2.3877356,0.42187878
19870529,-0.19616199,-0.6034565,-0.87553054,1.086098,0.21433328,0.1260242,-1.2070552,-0.49358046,-0.9588424,-0.69114166,-0.26285043,-0.98302513,-0.9809394,-0.75446874,-0.27951816,-0.6242254,-0.58893645,0.0104261935,-0.30935892,-0.27941376,-0.5863641,-1.2802824,-1.2391387,-0.67791486,-0.8258154,-0.9148545,0.19633709,-1.1942348,-0.9453006,0.20980756,-1.0554888,-1.003972,-1.3276314,-0.15259655,-0.5842217,-0.62661064,0.010522127,-0.72318923,-0.6447908,-0.29233444,-0.21459964,-0.43322694,-0.30260378,-0.52353716,-0.7504016,-0.6805519,-0.21719065,-0.22017317,-0.37293705,-0.3717829,-1.3194821,-0.15920933,-0.58879876,-0.3787936,0.35582623,-0.009816185,-0.9996182,-0.3444805,0.1716952,-0.63612795,-0.65938103,-0.518782,-0.60966253,-1.1650805,-0.5778968,-0.5515964,-0.7934063,-0.81572044,-1.6045328,0.6415551,-1.5376393,-0.7970538,-0.43118274,-0.3638134,0.74419546,-1.1460001,-1.0739003,-0.6410843,-2.374433,0.82229704,1.5400933,-0.50177085,0.18429047,-1.5231347,-0.8040664,-1.8058841,-1.4019496,-2.16402,-0.06259975,0.5508056,0.7897932,-1.0895323,-1.4063988,0.40124518
19870630,-0.055662423,-0.33986044,-0.693188,0.82734513,0.24272776,0.18206474,-0.821766,-0.2725737,-0.6093397,-0.4099492,-0.09511814,-0.62291116,-0.6380555,-0.47113967,-0.09321247,-0.36655653,-0.2888241,0.023624718,-0.047837473,-0.042397216,-0.5659207,-0.89183724,-0.9122111,-0.3744734,-0.52869105,-0.5799224,0.1616217,-0.7720258,-0.61435723,0.2385283,-0.7094523,-0.7172748,-0.96890837,0.029565915,-0.29913905,-0.38773808,0.11637099,-0.44019634,-0.4016114,-0.124243654,-0.010267347,-0.1952286,-0.12736894,-0.3098483,-0.4794373,-0.4013094,-0.118852034,-0.075572506,-0.21049148,-0.1774001,-0.9094744,-0.006428957,-0.39090902,-0.15820846,0.35756642,0.1151942,-0.66263556,-0.12167665,0.25079548,-0.3182494,-0.39606205,-0.24629453,-0.2806199,-0.76787674,-0.3255161,-0.33364043,-0.49222574,-0.50550926,-0.9855232,0.37284154,-0.9437473,-0.4166085,-0.17147234,-0.20154157,0.58844435,-0.84303415,-0.7937786,-0.2509503,-1.8405645,0.37786528,1.1244569,-0.052125167,0.0023284554,-1.0201418,-0.57353806,-1.3701237,-0.9520829,-1.7397563,0.032004863,0.22739688,0.5138017,-0.7343244,-1.0547165,0.3910066
19870731,-0.15421288,0.0151650645,0.46602443,-0.0068349987,0.25229132,0.17192543,0.3494861,-0.15679237,0.21110328,0.14648113,0.07754318,0.033505894,0.07017279,0.042322658,0.09710267,-0.091564566,-0.06402284,-0.2942438,0.0558071,0.05246199,0.4418103,0.19469129,0.38887048,0.092085674,0.09432136,0.07228413,-0.22220498,0.031569973,0.026393853,0.2944793,0.03826216,0.27456182,0.3807662,-0.088928185,0.05208947,0.15857401,0.017524198,0.1641703,0.16037934,0.05534886,0.028319398,0.09368276,0.06951954,0.11016406,0.2382313,-0.021815713,-0.21926914,-0.105354175,-0.22873574,0.13058774,0.34166896,0.17348039,0.29333976,0.10521613,-0.09475604,-0.015460778,-0.00077012926,0.044841994,0.20928495,-0.06632248,0.10320248,0.052630804,-0.119980626,0.11732062,0.15724266,0.17759816,0.06062027,0.08421618,0.21422394,-0.389065,0.18601957,-0.0023251623,-0.23765485,-0.047354184,-0.3292482,-0.59526676,-0.6193111,-0.20272674,0.30049747,-0.82782084,-0.44432336,0.076373346,-0.61242217,0.49806005,0.33448648,0.4264801,0.24967378,0.5337678,0.06947469,-0.74543184,-0.11668591,-0.20443836,-0.26746908,0.21450661
19870831,-0.5226589,-0.8156998,-0.6177581,0.7652466,0.19826703,0.06120488,-0.9733306,-0.8137282,-0.7450551,-0.69730085,-0.35726473,-1.1182079,-0.85912555,-0.90049547,-0.7264906,-0.8213349,-0.71138835,-0.3269932,-0.38492036,-0.42586303,-0.4655303,-1.1249063,-0.943591,-0.7240756,-0.8627316,-0.9754909,-0.17183933,-1.094938,-1.0336883,0.17482758,-1.0471882,-0.94973254,-1.0835445,-0.28162295,-0.5292413,-0.6358897,-0.19204095,-0.69122267,-0.63855195,-0.457615,-0.31256348,-0.64587677,-0.48426998,-0.6600716,-0.7905939,-0.7927495,-0.52088326,-0.4722035,-0.6197434,-0.40348166,-1.0244484,-0.20961976,-0.5792376,-0.38530445,0.08096537,-0.21716963,-1.0251824,-0.47565657,0.054861605,-0.7389008,-0.77460426,-0.7066995,-0.72694385,-0.990752,-0.55168694,-0.4434681,-0.8606138,-0.77252066,-1.0997673,0.08200133,-1.1463568,-0.6223438,0.009843975,-0.010190159,0.3710275,-1.3354322,-1.2832352,-0.09851539,-2.0089612,0.052797735,0.9160141,-0.2912596,-0.29477698,-1.1192807,-0.65306747,-1.2844814,-0.94042784,-1.6459444,-0.16526005,-0.1141929,0.2292347,-1.092028,-1.5272589,0.44425613
19870930,0.347646,0.73240393,1.0432663,-0.48117432,0.36430556,0.3254619,1.2044289,0.5443727,0.9223151,0.8063792,0.5519458,0.96431285,0.8321816,0.78424704,0.7536807,0.6285068,0.56973356,0.014932483,0.48432943,0.524166,0.97065514,1.1572049,1.2541369,0.7285023,0.85137784,0.8858559,-0.008047134,0.9057207,0.88341,0.41640538,0.8754059,1.0800064,1.2894285,0.21646409,0.59322864,0.7758758,0.3141358,0.82924205,0.77337486,0.5809727,0.48071718,0.7125315,0.60249794,0.7297902,0.9589232,0.68038774,0.20475262,0.3573954,0.3166947,0.59468573,1.220876,0.49172115,0.8587353,0.5655463,-0.053623468,0.30708283,0.86181736,0.5392277,0.34886634,0.58988917,0.8411119,0.65103674,0.529947,0.95662093,0.7322619,0.620218,0.81230235,0.737664,1.162434,-0.36050636,1.1397476,0.51696146,0.036609232,-0.016301692,-0.5209179,0.34077162,0.22175434,0.35802662,1.7495178,-1.0620546,-1.216924,0.3225087,-0.41291785,1.241353,1.1388876,1.4995196,1.0013483,1.7763731,0.44400415,-0.81678724,-0.28022766,0.72040534,0.9401526,0.19050446
19871030,-0.028989494,-0.07693866,-0.011115402,0.37996322,0.23841156,0.20408282,-0.15367618,-0.10866466,-0.052578263,-0.028373387,0.07628045,-0.2100107,-0.08776164,-0.13434681,-0.04246732,-0.11208729,-0.038815014,-0.067179576,0.070546396,0.065403804,0.025437668,-0.22826102,-0.15253593,-0.030326806,-0.09699474,-0.13989142,0.0579767,-0.20566827,-0.17381372,0.2577033,-0.18361941,-0.12264191,-0.19156069,0.077667534,0.04034247,-0.0096264705,0.12521254,-0.028422415,-0.008642614,0.063534245,0.09406307,-0.02555513,0.05638351,-0.01507768,-0.060438715,-0.057750802,-0.07364684,0.033625383,-0.09979265,0.0724602,-0.16675806,0.14723676,0.007838786,0.06829479,0.18005723,0.1421003,-0.20076132,0.054698776,0.24148673,-0.053224485,-0.06243727,0.033153072,-0.08579198,-0.12714309,0.0062080324,0.07495555,-0.09401688,-0.052007772,-0.22155476,0.006847009,-0.21172673,-0.035416808,0.03915152,0.05100386,0.09095006,-0.62357646,-0.6325665,0.23724654,-0.5763664,-0.2737207,0.18634276,-0.0390466,-0.33344424,-0.19900072,-0.0599045,-0.25789642,-0.052648395,-0.41946167,0.1286163,-0.31130683,0.17993519,-0.30630094,-0.4736899,0.31806868
