DATE,absacc,acc,age,agr,bm,bm_ia,cashdebt,cashpr,cfp,cfp_ia,chatoia,chcsho,chempia,chinv,chpmia,convind,currat,depr,divi,divo,dy,egr,ep,gma,grcapx,grltnoa,herf,hire,invest,lev,lgr,mve_ia,operprof,orgcap,pchcapx_ia,pchcurrat,pchdepr,pchgm_pchsale,pchquick,pchsale_pchinvt,pchsale_pchrect,pchsale_pchxsga,pchsaleinv,pctacc,ps,quick,rd,rd_mve,rd_sale,realestate,roic,salecash,saleinv,salerec,secured,securedind,sgr,sin,sp,tang,tb,aeavol,cash,chtx,cinvest,ear,ms,nincr,roaq,roavol,roeq,rsup,stdacc,stdcf,baspread,beta,betasq,chmom,dolvol,idiovol,ill,indmom,maxret,mom12m,mom1m,mom36m,mom6m,mvel1,pricedelay,retvol,std_dolvol,std_turn,turn,zerotrade
19870130,-0.036980115,-0.07407289,0.03451947,0.2894955,0.40287545,0.29486293,-0.105170086,-0.23432268,0.006899981,0.052792124,0.027593138,-0.12840222,-0.06137703,-0.09209327,0.011535105,-0.017161682,0.012153379,0.04886911,0.042158525,0.058893234,0.15055744,-0.20920166,0.09126226,-0.055927206,-0.06484613,-0.111939065,0.04349776,-0.14031816,-0.16635332,0.29591736,-0.09963708,-0.04919416,-0.1309104,0.1370705,0.0075410632,0.039710872,0.093012184,-0.00054032454,0.039187916,0.07887762,0.060009804,-0.018238625,0.07740333,0.02682228,-0.016741863,-0.028884966,0.03069952,0.039435193,-0.069130756,0.052329503,-0.098796725,0.11754672,0.048099555,0.1451196,0.06018095,0.059777074,-0.17875353,0.05003103,0.33589965,-0.007952446,0.05329813,0.026811803,0.015170548,0.008826945,0.050646544,0.026533388,-0.09787597,-0.0010645675,-0.06776651,0.069343425,-0.11923229,0.018002138,0.037851013,0.041732684,0.12607172,-0.18085857,-0.18119498,-0.03241505,-0.4420349,0.049129117,0.46161577,0.008655783,-0.056226112,-0.13974212,-0.1489095,-0.29977912,-0.11218673,-0.34607032,0.06302742,-0.0038495562,0.1852765,-0.13826972,-0.2945026,0.25281912
19870227,-0.035584416,-0.07305633,0.03079015,0.28699136,0.40112436,0.29368263,-0.10865275,-0.23383664,0.006148177,0.052210625,0.02637256,-0.12797575,-0.06190433,-0.09162282,0.010140229,-0.016526606,0.012333462,0.050987072,0.043063894,0.05973008,0.14441043,-0.2086433,0.08776878,-0.05509071,-0.065233596,-0.11156314,0.04626983,-0.13957669,-0.16586111,0.29488483,-0.09887404,-0.052763514,-0.13305604,0.1357861,0.006907277,0.038594298,0.09223138,-0.0014572998,0.037940316,0.07764074,0.059113763,-0.01942171,0.07614611,0.028088879,-0.018585755,-0.029992336,0.03132153,0.039537635,-0.06896634,0.053283997,-0.1013679,0.11772452,0.045514546,0.14278804,0.061063066,0.06019219,-0.17804228,0.050604183,0.33571824,-0.0102162,0.051061306,0.027453784,0.015503501,0.0095258765,0.051266886,0.02657571,-0.09792149,-0.0010759099,-0.067513496,0.070841156,-0.11942338,0.017907325,0.038806826,0.04287562,0.13134523,-0.17195489,-0.1723703,-0.0351842,-0.44415334,0.057807367,0.46495748,0.007986353,-0.04982273,-0.14307658,-0.15246879,-0.30141234,-0.11592563,-0.3514228,0.060808815,0.0045764484,0.18527165,-0.13370408,-0.2893257,0.2514417
19870331,-0.034163468,-0.07216122,0.02502001,0.2858533,0.39653152,0.28982413,-0.11413868,-0.22921455,0.004663578,0.052253265,0.026775137,-0.12768264,-0.062689975,-0.09210715,0.008393099,-0.015318708,0.0127062835,0.05291782,0.044901077,0.061564326,0.13554461,-0.20871861,0.08022608,-0.055813633,-0.066721275,-0.112296626,0.05117521,-0.13922046,-0.16592695,0.29041222,-0.09891822,-0.056654666,-0.13660495,0.13249797,0.0061833374,0.036131144,0.09286455,-0.0024662337,0.035860285,0.07701097,0.058327626,-0.018943034,0.07583543,0.028456664,-0.020934235,-0.02968596,0.032636885,0.040110517,-0.067875795,0.05406823,-0.105466045,0.11501274,0.04400563,0.13983637,0.0627079,0.061401065,-0.1774847,0.051834658,0.33122346,-0.012509361,0.04791304,0.027403757,0.015581086,0.010333589,0.05205068,0.02729622,-0.0981386,-0.0006900499,-0.06827284,0.07464655,-0.119618334,0.017294103,0.04178404,0.04537714,0.1384591,-0.16350214,-0.16395783,-0.035194278,-0.44520742,0.06989343,0.4669848,0.008950024,-0.04277153,-0.14262971,-0.154257,-0.3044614,-0.1153657,-0.35643417,0.05980106,0.013616704,0.18637633,-0.13089338,-0.285345,0.25026643
19870430,-0.034169853,-0.073509455,0.023218287,0.2910614,0.40268221,0.294378,-0.11846715,-0.23251195,0.0036715572,0.053248875,0.027011493,-0.1301726,-0.0643811,-0.09472276,0.0077733058,-0.015543312,0.013898561,0.0555842,0.045455426,0.06232475,0.13387524,-0.21327756,0.07802143,-0.056947127,-0.068725854,-0.11484557,0.054472465,-0.14234723,-0.16943006,0.29383424,-0.100799,-0.05943344,-0.14074737,0.13396618,0.0050797514,0.036276832,0.094687276,-0.0026179447,0.03611725,0.0783535,0.05879323,-0.020037372,0.07708415,0.028913194,-0.022537299,-0.029399812,0.03366876,0.042468853,-0.06742407,0.05465212,-0.10938827,0.116056144,0.04355252,0.14004748,0.06446084,0.06338362,-0.18127622,0.052356627,0.33578762,-0.013165192,0.048051167,0.028757934,0.01640203,0.011298287,0.052912313,0.028302215,-0.09978015,-0.0002500045,-0.06937273,0.07817609,-0.121826135,0.01759153,0.043069907,0.046791222,0.1446877,-0.16351569,-0.16384287,-0.036061328,-0.45450482,0.076208524,0.47684163,0.010638734,-0.040519144,-0.14423157,-0.15783201,-0.3120808,-0.11686654,-0.36618665,0.060349744,0.01835783,0.190669,-0.13112566,-0.28810036,0.2549117
19870529,-0.03406474,-0.0739566,0.02325634,0.29445115,0.40645066,0.29725572,-0.12045762,-0.2344259,0.0026882566,0.05305834,0.027295774,-0.13170375,-0.06528351,-0.0960314,0.007287156,-0.015255119,0.014084475,0.056723945,0.045944877,0.06309283,0.13390903,-0.21525455,0.07704232,-0.057563674,-0.069877096,-0.11635107,0.055608265,-0.14395894,-0.17111114,0.29646719,-0.102350585,-0.0604001,-0.14259589,0.13511844,0.004839303,0.03686545,0.09566533,-0.0028837156,0.0365376,0.07916804,0.059386246,-0.020166129,0.07777509,0.02925662,-0.02294072,-0.029704379,0.034553643,0.043654393,-0.06714543,0.05472091,-0.11126364,0.11703204,0.043760434,0.14075808,0.06503189,0.064000055,-0.18332936,0.05292636,0.3389991,-0.013318492,0.048036285,0.029566707,0.016542085,0.01165324,0.05368582,0.028565483,-0.100515984,-0.00022449826,-0.070356816,0.07986447,-0.12349618,0.016986722,0.043839578,0.047659818,0.1475507,-0.16372447,-0.16411991,-0.036354747,-0.45946974,0.079053,0.48182088,0.011187235,-0.040158782,-0.14606687,-0.16003686,-0.31652543,-0.11804132,-0.3705786,0.06058519,0.019678544,0.1930042,-0.13176419,-0.29044664,0.25756982
19870630,-0.034146838,-0.074345745,0.023054115,0.29593107,0.40899566,0.29919624,-0.121511504,-0.23585151,0.002603687,0.05334112,0.027251825,-0.13239962,-0.06583887,-0.09671619,0.007023203,-0.015151809,0.01416225,0.057296243,0.04623304,0.06345663,0.13390465,-0.21638846,0.07708456,-0.05751399,-0.070228286,-0.11705685,0.056149974,-0.14479041,-0.17222558,0.29842257,-0.10290344,-0.06109478,-0.14352086,0.13585487,0.004762405,0.037035864,0.09615234,-0.0029991895,0.036697436,0.079654284,0.05970605,-0.020415844,0.0782486,0.029631563,-0.023312615,-0.030134615,0.034879845,0.043832447,-0.06792354,0.055235274,-0.11203697,0.11786753,0.0438837,0.14137466,0.06535956,0.06442216,-0.1844422,0.05320396,0.3414083,-0.013813053,0.04816021,0.029620375,0.01651337,0.0118277995,0.05426457,0.028779577,-0.10110642,-0.00012028739,-0.07076208,0.08017994,-0.124266624,0.017076978,0.044169493,0.048021395,0.1489868,-0.16376604,-0.16406973,-0.03714178,-0.46247208,0.08057471,0.48494554,0.010907858,-0.03946471,-0.14745572,-0.16132812,-0.31856406,-0.11938212,-0.3734141,0.06055837,0.020996884,0.19421951,-0.1318376,-0.291625,0.2586512
19870731,-0.03506291,-0.07510432,0.026557887,0.29861617,0.41066933,0.3002007,-0.119865306,-0.23654218,0.0014098868,0.053078067,0.027640743,-0.13299552,-0.06675075,-0.09728943,0.006746308,-0.014812087,0.012903837,0.056123555,0.046317775,0.063653246,0.1366156,-0.21835147,0.07652746,-0.058678206,-0.07026887,-0.11840296,0.05681325,-0.14644979,-0.17355327,0.299548,-0.1043935,-0.058395762,-0.14273942,0.134642,0.0063893064,0.036937445,0.0968915,-0.0033420527,0.036864582,0.080636136,0.06033157,-0.020447882,0.079222396,0.028682165,-0.023554238,-0.030698594,0.034319717,0.04317565,-0.069423415,0.054835152,-0.11100223,0.117973484,0.046057366,0.14198427,0.06434288,0.06380472,-0.18701282,0.053369887,0.34167466,-0.014618395,0.047865495,0.0294778,0.0151079465,0.011567212,0.05410528,0.028933385,-0.101680435,-0.00021825243,-0.07138932,0.07988456,-0.12464857,0.015883114,0.043860942,0.048399832,0.14768164,-0.16802731,-0.16810177,-0.03381653,-0.46010125,0.07801027,0.4819367,0.016296986,-0.04120724,-0.1420856,-0.15770745,-0.31899276,-0.11412372,-0.37021953,0.06206801,0.018442264,0.193453,-0.13347013,-0.29345906,0.25870124
19870831,-0.035054952,-0.07576683,0.026513873,0.30206472,0.41398296,0.30240956,-0.12155877,-0.23827477,0.0012253145,0.05352159,0.027774213,-0.13421759,-0.06750612,-0.097882345,0.006588445,-0.0147414105,0.012891942,0.056965828,0.047047958,0.06460414,0.13812545,-0.22065751,0.07623716,-0.059516154,-0.070994005,-0.119455546,0.05805083,-0.14814962,-0.17510897,0.3018372,-0.10537503,-0.059121948,-0.1445992,0.13574521,0.006890912,0.037087765,0.09815578,-0.003572093,0.03696888,0.08097252,0.060981534,-0.02092036,0.07957555,0.029016908,-0.024304356,-0.031139784,0.034947336,0.043382376,-0.07011307,0.055389322,-0.11269706,0.11882155,0.046131603,0.14325014,0.06534268,0.06444996,-0.18923506,0.054102827,0.34409827,-0.014810654,0.047681384,0.02956305,0.015222845,0.011521018,0.05460213,0.02912601,-0.10282009,-0.00017616793,-0.072394945,0.081104875,-0.12613356,0.015620469,0.044714436,0.049328737,0.1496883,-0.16996694,-0.16995382,-0.03301142,-0.4644045,0.079550415,0.48664328,0.01714719,-0.040856082,-0.1432666,-0.15795451,-0.32243356,-0.11466425,-0.37354654,0.06297399,0.019121764,0.19555803,-0.13500226,-0.29628155,0.26155984
19870930,-0.03548678,-0.07553887,0.028071804,0.30012828,0.41109213,0.30018106,-0.118857615,-0.2368455,0.0016567359,0.053086977,0.027935244,-0.13357192,-0.066665776,-0.09738117,0.006955282,-0.014732992,0.01268425,0.05578079,0.045911204,0.06340868,0.1392168,-0.21855463,0.077294074,-0.05901192,-0.07021036,-0.11843713,0.056618284,-0.14719991,-0.1737116,0.2995725,-0.10472929,-0.057199527,-0.14211565,0.1350172,0.0068356968,0.037150804,0.097507924,-0.0028730936,0.03709972,0.08063754,0.060781937,-0.020441059,0.079253174,0.028465195,-0.023361387,-0.030587528,0.034300905,0.043019954,-0.0698423,0.054395728,-0.11033293,0.118204676,0.046833117,0.1429022,0.064504765,0.063673526,-0.1876874,0.05307551,0.34153113,-0.014414098,0.048199993,0.02929601,0.014818389,0.011034142,0.05360108,0.029009186,-0.1017522,-0.00027277993,-0.07169055,0.079591885,-0.12484159,0.015482296,0.043790143,0.048272334,0.14593229,-0.17206778,-0.17199227,-0.032035008,-0.4591684,0.07509698,0.48054123,0.01781323,-0.04309874,-0.13998285,-0.15578671,-0.3185058,-0.11175708,-0.36795822,0.06322761,0.015412922,0.19392312,-0.13532779,-0.2954044,0.25987592
19871030,-0.034964945,-0.07423697,0.028583046,0.29908213,0.41000262,0.30021685,-0.11750974,-0.23695336,0.0040075164,0.054319624,0.027421875,-0.13255823,-0.06833494,-0.097176544,0.0064682513,-0.016847027,0.010263072,0.053787768,0.045988332,0.063329086,0.13861433,-0.21676792,0.07775393,-0.059173755,-0.06981327,-0.11776448,0.055417053,-0.14682914,-0.17304866,0.29981518,-0.10530623,-0.055839654,-0.13980125,0.13175946,0.0063833445,0.03700345,0.098501004,-0.0018443839,0.037138086,0.0806003,0.061627436,-0.020794434,0.07936858,0.029396972,-0.021032881,-0.03240973,0.03282822,0.041653078,-0.07120092,0.057018746,-0.109566905,0.11869,0.049321067,0.14067572,0.06554021,0.0632153,-0.18672019,0.05349409,0.3392008,-0.015938194,0.04723617,0.029825384,0.013885054,0.011779232,0.053884238,0.029857231,-0.098089285,0.0006009772,-0.0669817,0.074751176,-0.1199693,0.014455432,0.043117825,0.048419103,0.15228057,-0.17323112,-0.1735214,-0.031231582,-0.46102455,0.07244776,0.47954106,0.013886917,-0.04425674,-0.1449644,-0.15713663,-0.31448996,-0.11508547,-0.36971977,0.06487827,0.016269198,0.19302754,-0.13634263,-0.29771742,0.26584965
